Chromosome,Locus_N,Start,End,Region size,Barcode,PU.Fw,PU.Rev,Nbr_Probes
chr3L,1,8882667,8885455,2788,revmer1,BB287.Fw,BB288.Rev,45
chr3L,2,8885456,8888060,2604,revcompmer2,BB287.Fw,BB288.Rev,45
chr3L,3,8888068,8891099,3031,revmer3,BB287.Fw,BB288.Rev,45
chr3L,4,8891100,8893398,2298,revmer7,BB287.Fw,BB288.Rev,45
chr3L,5,8893405,8895694,2289,revmer8,BB287.Fw,BB288.Rev,45
chr3L,6,8895695,8897670,1975,revmer9,BB287.Fw,BB288.Rev,45
chr3L,7,8897674,8900626,2952,revmer10,BB287.Fw,BB288.Rev,45
chr3L,8,8900627,8903878,3251,revmer11,BB287.Fw,BB288.Rev,45
chr3L,9,8903883,8906388,2505,revmer12,BB287.Fw,BB288.Rev,45
chr3L,10,8906389,8908484,2095,revmer13,BB287.Fw,BB288.Rev,45
chr3L,11,8908485,8910477,1992,revmer14,BB287.Fw,BB288.Rev,45
chr3L,12,8910534,8912682,2148,revmer15,BB287.Fw,BB288.Rev,45
chr3L,13,8912683,8915861,3178,revmer16,BB287.Fw,BB288.Rev,45
chr3L,14,8915862,8918761,2899,revmer17,BB287.Fw,BB288.Rev,45
chr3L,15,8918800,8922486,3686,revmer18,BB287.Fw,BB288.Rev,45
chr3L,16,8922487,8925339,2852,revmer19,BB287.Fw,BB288.Rev,45
chr3L,17,8925397,8928692,3295,revmer20,BB287.Fw,BB288.Rev,45
chr3L,18,8928717,8931038,2321,revmer21,BB287.Fw,BB288.Rev,45
chr3L,19,8931082,8934440,3358,revmer23,BB287.Fw,BB288.Rev,45
chr3L,20,8934441,8936531,2090,revmer24,BB287.Fw,BB288.Rev,45
