Chromosome,Locus_N°,Start,End,Region size, Barcode,PU.Fw,PU.Rev,Nbr_Probes
chr3L,1,8883243,8947327,64084,revMer1,BB287.Fw,BB288.Rev,1000
chr3L,2,8947354,9004701,57347,revcompMer2,BB287.Fw,BB288.Rev,1000
chr3L,3,9004729,9064669,59940,revMer3,BB287.Fw,BB288.Rev,1000
chr3L,4,9064670,9143317,78647,revMer7,BB287.Fw,BB288.Rev,1000
chr3L,5,9143510,9218834,75324,revMer8,BB287.Fw,BB288.Rev,1000
chr3L,6,9218843,9288828,69985,revMer9,BB287.Fw,BB288.Rev,1000
chr3L,7,9288873,9354255,65382,revMer10,BB287.Fw,BB288.Rev,1000
chr3L,8,9354284,9424451,70167,revMer11,BB287.Fw,BB288.Rev,1000
chr3L,9,9424560,9489231,64671,revMer12,BB287.Fw,BB288.Rev,1000
chr3L,10,9489232,9562839,73607,revMer13,BB287.Fw,BB288.Rev,1000
chr3L,11,9563027,9625742,62715,revMer14,BB287.Fw,BB288.Rev,1000
chr3L,12,9625743,9691560,65817,revMer15,BB287.Fw,BB288.Rev,1000
chr3L,13,9691569,9755401,63832,revMer16,BB287.Fw,BB288.Rev,1000
chr3L,14,9755402,9824751,69349,revMer17,BB287.Fw,BB288.Rev,1000
chr3L,15,9824875,9887817,62942,revMer18,BB287.Fw,BB288.Rev,1000
chr3L,16,9887874,9966142,78268,revMer19,BB287.Fw,BB288.Rev,1000
chr3L,17,9966264,10031656,65392,revMer20,BB287.Fw,BB288.Rev,1000
chr3L,18,10031675,10102349,70674,revMer21,BB287.Fw,BB288.Rev,1000
chr3L,19,10102350,10164181,61831,revMer23,BB287.Fw,BB288.Rev,1000
chr3L,20,10164229,10229789,65560,revMer24,BB287.Fw,BB288.Rev,1000
